Extremum 1 found at image  0.000000 with energy:  0.000000
Extremum 2 found at image  2.990864 with energy:  0.510128
Extremum 3 found at image  6.917428 with energy:  0.001610
Extremum 4 found at image  7.000000 with energy:  0.001617
